county,state,lat,lon,num_deaths
Aroostook,Maine,46.65892566960527,-68.59890430277589,258546.0
Arthur,Nebraska,41.568950285434255,-101.69581536782414,0.0
Ascension,Louisiana,30.20355090802797,-90.9113096785833,333432.0
Ashe,North Carolina,36.434480522101566,-81.50051128178396,98980.0
Ashland,Ohio,40.84602074743489,-82.27069247554958,189688.0
Ashland,Wisconsin,46.26615379687459,-90.68253167960268,59013.0
Ashley,Arkansas,33.19121661702933,-91.76846302666824,99898.0
Ashtabula,Ohio,41.707548907933,-80.74831938370892,453440.0
Asotin,Washington,46.19182681213974,-117.20304715387954,77982.0
Assumption,Louisiana,29.9007829933508,-91.0625897821447,87696.0
Atascosa,Texas,28.89351411564284,-98.52716016609766,155805.0
Atchison,Kansas,39.531756032187815,-95.31349547231233,60750.0
